Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
   0    4.8498E+001    4.6616E+001    82    47
   1    4.3649E+001    4.5269E+000    99    59
   2    3.9284E+001    1.0582E+002    97    49
   3    3.5355E+001    3.3176E+001    98    55
   4    3.1820E+001    2.8820E+001   107    48
   5    2.8638E+001    3.4895E+001   101    44
   6    2.5774E+001    9.0401E+000   103    43
   7    2.3197E+001    8.0832E+000   111    40
   8    2.0877E+001    5.4726E+000   118    32
   9    1.8789E+001    4.4579E+000   110    36
  10    1.6910E+001    1.7629E+001   109    35
  11    1.5219E+001    8.1113E+000   116    35
  12    1.3697E+001    5.9234E+000   115    47
  13    1.2328E+001    1.6872E-001   120    31
  14    1.1095E+001    4.2596E+000   108    39
  15    9.9854E+000   -7.1280E-002   117    42
  16    8.9868E+000    3.1157E+000   111    37
  17    8.0882E+000    3.8432E+000   106    38
  18    7.2793E+000    3.5570E+000   117    36
  19    6.5514E+000    1.1192E+000   113    36
  20    5.8963E+000    7.3886E+000   116    39
  21    5.3066E+000    1.2604E+000   113    31
  22    4.7760E+000    7.5333E-001   113    39
  23    4.2984E+000    2.7410E-001   110    36
  24    3.8685E+000    2.5301E+000   114    36
  25    3.4817E+000    8.9086E-002   112    39
  26    3.1335E+000   -6.7994E-001   110    41
  27    2.8202E+000    1.7007E+000   116    31
  28    2.5382E+000    4.2614E+000   109    40
  29    2.2843E+000    2.5604E+000   115    36
  30    2.0559E+000    3.1991E+000   113    31
  31    1.8503E+000    3.4767E+000   109    36
  32    1.6653E+000   -1.7900E+000   109    24
  33    1.4988E+000   -5.0014E-001   111    43
  34    1.3489E+000    5.8333E+000   115    35
  35    1.2140E+000    1.1535E+000   110    40
  36    1.0926E+000   -1.4759E+000   117    37
  37    9.8333E-001   -6.6128E-001   111    40
  38    8.8500E-001    2.2842E-001   116    38
  39    7.9650E-001   -1.2336E+000   106    35
  40    7.1685E-001   -1.7394E-001   119    34
  41    6.4516E-001   -1.4521E+000   109    30
  42    5.8065E-001   -1.4636E+000   115    28
  43    5.2258E-001   -1.4702E+000   112    36
