Trinormal distribution
 Iter        X1        X2        X3
    1    0.9414    1.9293    2.7577
    2    0.9456    2.1266    2.9314
    3    0.9686    1.9327    3.2922
    4    0.9500    1.9026    3.2892
    5    0.9046    1.7401    3.0432
    6    0.9835    1.7812    3.0276
    7    1.0191    1.8416    3.1588
    8    1.0786    1.9073    3.3973
    9    1.1766    1.8622    3.3282
   10    1.0638    1.9851    2.9289
   11    1.0989    2.1797    2.9132
   12    0.9819    2.2708    2.7674
   13    1.0216    2.2794    2.7841
   14    0.9391    2.0574    2.8474
   15    0.9379    1.9211    2.8290
   16    0.9965    2.0450    3.1235
   17    1.1071    1.9844    3.3583
   18    1.0719    2.2185    2.8377
   19    1.1254    2.3349    3.0031
   20    1.0741    2.2508    3.2624
   21    1.0806    2.1653    3.3076
   22    1.1652    1.9831    3.7161
   23    1.0315    2.3345    3.0314
   24    0.9585    2.1738    2.9637
   25    0.9759    1.9838    3.1290
   26    0.9520    2.0233    2.9583
   27    1.0405    2.3311    3.0037
   28    1.0804    2.3086    3.0505
   29    0.9297    2.1796    2.7653
   30    1.0548    2.2492    2.9017
   31    0.8760    2.0261    2.8700
   32    0.9172    2.0443    2.7344
   33    1.1784    2.1955    3.1104
   34    1.2063    2.1727    2.9811
   35    1.0796    2.0567    2.9188
   36    1.0368    2.1051    2.5859
   37    0.9866    2.2080    2.5211
   38    0.9697    2.2457    2.7426
   39    1.0466    1.9956    2.8310
   40    0.9811    1.9431    2.7512
   41    0.9086    1.9072    2.8494
   42    1.0246    1.9202    3.2401
   43    0.9641    2.2727    2.6509
   44    1.1333    2.1625    3.1258
   45    1.1332    2.1923    3.1730
   46    1.1281    2.2057    3.1202
   47    1.1043    2.1862    2.9390
   48    1.1032    2.1823    3.3874
   49    0.9839    1.9731    3.5722
   50    0.9513    1.6766    3.6056
   51    0.9049    1.8197    3.0597
   52    0.9867    1.9030    3.2041
   53    1.0824    2.1263    3.0531
   54    1.1739    2.1795    3.3560
   55    1.0425    1.9200    3.6731
   56    0.9747    2.0325    3.5678
   57    0.8977    2.3053    2.8985
   58    0.8537    1.9166    2.9951
   59    0.9977    2.0163    3.2882
   60    0.9430    1.8763    3.0494
   61    0.9707    1.9891    2.9852
   62    0.9216    1.8433    2.9056
   63    0.8935    1.7564    3.0598
   64    0.9126    1.8380    3.1326
   65    0.9465    2.1155    3.0234
   66    1.0272    1.9539    3.4608
   67    1.0559    2.0290    2.9426
   68    1.0615    1.9737    3.0343
   69    0.9647    2.0159    3.0479
   70    1.0640    1.9328    3.0366
   71    1.0888    2.1495    2.5681
   72    0.9399    1.8990    2.3781
   73    1.0917    2.0354    2.5977
   74    1.0832    1.8623    2.8028
   75    1.0940    1.7836    3.0869
   76    0.9212    1.8626    2.5091
   77    1.0000    1.6409    2.8656
   78    1.1566    1.7178    3.2223
   79    1.1902    2.0657    3.0291
   80    1.0929    2.1368    2.7258
   81    1.1644    1.8777    3.0714
   82    1.1506    1.8508    3.3050
   83    1.3348    2.0058    3.2695
   84    1.3491    2.1694    3.1635
   85    1.0993    1.9996    2.9578
   86    1.0256    1.9507    2.9061
   87    1.0904    2.0052    3.1640
   88    1.1234    1.9731    3.3071
   89    1.0485    1.8428    3.2104
   90    1.1089    1.8458    3.4016
   91    1.0079    1.6846    3.3219
   92    1.0658    1.7855    3.1490
   93    1.0959    1.9000    3.0885
   94    1.0394    1.9715    2.9899
   95    0.9987    2.1751    2.9906
   96    1.0183    2.1093    2.9041
   97    1.0436    1.8892    3.1218
   98    0.9537    1.9204    3.1020
   99    0.9556    1.8966    3.0013
  100    0.8648    2.0163    2.7677
  101    0.9040    1.9768    2.8008
  102    0.9274    2.0790    2.6041
  103    0.9714    2.2232    2.4226
  104    1.0331    2.0117    2.7944
  105    1.1003    2.0139    2.9214
  106    1.0639    1.7579    3.2219
  107    0.9971    1.6972    3.2572
  108    1.0254    1.8061    2.8201
  109    1.0162    1.7821    2.9071
  110    1.0201    1.8306    3.0956
  111    0.9756    1.6230    3.0206
  112    0.9113    1.7959    2.5525
  113    1.0175    1.9649    2.6369
  114    0.9632    2.1640    2.5452
  115    0.8658    1.9241    2.7398
  116    0.7670    1.8963    2.6356
  117    0.8859    2.1625    2.8122
  118    0.8413    2.0451    2.7200
  119    0.9583    1.8237    3.2667
  120    0.8834    1.9944    2.4083
  121    0.9594    1.9464    2.5175
  122    1.0643    2.2152    2.6371
  123    1.0770    2.0775    2.9733
  124    0.9325    2.0434    2.8694
  125    0.9081    1.8257    3.0349
  126    0.8573    1.8296    2.7900
  127    0.7884    1.9334    2.4942
  128    0.8843    1.8400    2.6448
  129    0.9895    1.9937    2.7151
  130    1.0127    2.2559    2.9689
  131    1.0458    2.2701    3.0304
  132    1.0212    1.9471    3.4842
  133    1.1465    2.0926    3.4363
  134    1.0620    2.2244    3.1719
  135    1.1565    2.0167    3.2689
  136    1.1339    2.1445    3.0101
  137    0.9522    2.0127    2.5868
  138    0.9110    2.0714    2.7509
  139    0.8700    2.2519    2.4425
  140    0.8336    2.0795    2.0690
  141    0.8517    1.8568    2.1843
  142    0.8907    1.8137    2.4723
  143    1.0453    1.7307    2.8519
  144    1.1674    1.8363    3.0772
  145    1.0830    1.8301    3.2337
  146    0.9990    1.6946    3.1093
  147    1.0558    2.0011    3.0351
  148    0.9058    1.8455    3.1607
  149    0.9056    1.8468    2.9197
  150    0.8728    1.7965    2.8920
  151    0.9530    1.5947    3.3277
  152    0.9126    2.0035    2.8266
  153    0.9481    1.6996    3.0800
  154    0.9968    1.7958    2.9523
  155    1.2035    2.0203    3.0457
  156    1.2690    2.0594    3.2719
  157    1.2222    2.0902    3.2793
  158    1.0184    2.1647    2.9055
  159    0.9966    2.0449    3.1174
  160    0.9482    2.2491    2.7682
  161    0.9043    1.9743    2.9629
  162    0.8655    1.8791    3.0858
  163    0.9170    1.7232    3.2832
  164    0.9493    1.8073    3.0891
  165    0.8786    1.8076    2.8759
  166    0.8480    2.0099    2.7750
  167    0.9469    1.7714    3.1189
  168    0.9306    1.9224    2.9653
  169    0.8833    2.0546    2.8632
  170    0.8680    2.0159    2.7157
  171    0.9634    2.1947    2.9111
  172    0.8439    2.0583    2.9154
  173    0.9733    2.3558    2.5982
  174    0.9762    2.4976    2.3959
  175    0.9645    2.0022    2.9372
  176    0.9556    1.8268    3.0046
  177    1.1418    1.8865    3.2276
  178    1.1011    2.0371    3.1375
  179    1.0776    1.8611    3.1134
  180    1.0666    1.9738    2.8555
  181    0.9860    1.9194    2.7905
  182    1.0003    1.8627    2.8895
  183    0.9078    1.7866    2.8666
  184    1.0538    1.9238    3.2619
  185    0.9426    1.8083    3.1900
  186    0.9225    2.1195    2.8404
  187    0.8926    1.9407    3.1624
  188    0.8397    1.8545    2.9128
  189    1.0095    2.0145    2.9162
  190    1.0211    2.0470    2.7910
  191    0.9643    2.0458    2.7120
  192    0.9674    2.0280    2.7365
  193    0.9105    2.0569    2.8543
  194    0.8457    2.0589    2.6206
  195    0.7645    2.0203    2.7278
  196    0.7410    1.7562    2.7118
  197    0.6820    2.0473    2.4274
  198    0.7628    2.1317    2.8142
  199    0.8715    2.3619    2.9635
  200    0.9395    2.2586    3.1647
  201    0.8930    2.0571    3.2850
  202    0.9766    2.0158    3.4041
  203    0.7947    1.6848    2.9995
  204    0.9537    1.9569    3.3184
  205    0.9750    2.1385    2.9718
  206    1.0808    2.1372    3.3870
  207    1.1156    1.9260    3.4661
  208    1.1497    1.9812    3.1924
  209    1.1055    2.1995    3.0730
  210    1.0188    2.1719    3.1151
  211    1.0500    2.3008    3.2703
  212    1.1075    2.0998    3.2519
  213    1.0554    2.0041    3.0895
  214    0.9966    1.8540    3.0161
  215    1.0478    1.9294    3.1154
  216    1.0744    1.8273    3.2495
  217    1.0942    1.8843    3.0180
  218    0.9954    2.1395    2.8283
  219    0.9960    1.9338    3.1036
  220    1.0537    2.0324    2.8863
  221    1.0272    1.8600    3.1780
  222    1.0150    1.9378    3.3453
  223    0.9482    2.1781    3.0377
  224    1.0440    2.1153    3.2322
  225    1.1333    1.9841    3.4875
  226    1.2006    1.9810    3.3835
  227    1.0945    1.9020    3.2930
  228    0.9749    2.1685    3.0569
  229    1.0149    2.1695    3.1755
  230    1.0800    2.2157    3.0656
  231    1.1001    2.2620    3.1311
  232    1.0024    2.2111    3.2841
  233    0.8559    1.9492    2.7512
  234    0.8455    1.8635    2.8076
  235    0.8740    1.7638    2.7553
  236    0.8363    1.9658    2.8221
  237    0.9102    1.9960    2.9383
  238    0.8613    2.1002    2.7822
  239    0.8648    2.1131    2.7545
  240    0.8724    2.5958    2.2995
  241    0.8953    2.6439    2.2133
  242    0.7884    2.2328    2.6908
  243    0.8128    2.1969    2.5813
  244    0.8231    2.1593    2.7094
  245    0.9047    1.9938    2.7552
  246    0.9141    2.0726    2.8244
  247    0.8962    2.0001    2.6089
  248    0.9064    1.7995    2.8013
  249    0.9306    2.0209    2.6847
  250    0.9466    1.9844    3.1173
  251    1.0934    2.1593    3.1651
  252    0.9869    2.2685    2.9107
  253    0.9720    2.0734    2.9923
  254    0.9800    2.0413    3.2189
  255    1.0481    2.2732    3.2662
  256    1.0670    2.2147    3.3032
  257    0.9684    2.1609    3.1816
  258    0.9368    2.0906    3.0076
  259    0.9528    2.1730    2.7510
  260    1.0101    2.2473    2.8022
  261    0.9870    2.1898    2.8463
  262    1.1055    2.0032    3.0337
  263    1.1043    2.0156    3.0133
  264    1.0271    2.1081    2.9975
  265    1.0447    1.9894    2.9119
  266    1.0141    1.9029    2.8474
  267    1.0748    1.9255    3.1974
  268    0.9324    1.9872    2.8622
  269    0.9272    2.0794    2.8591
  270    0.9389    1.9994    3.0032
  271    1.1279    2.2320    2.9635
  272    1.0442    1.9487    3.0451
